Limbic lobe,0
Cuneus,6
Cingulate gyrus,42
Posterior cingulate gyrus,3
Anterior cingulate gyrus,23
Middle cingulate gyrus,1
Functional area,1
Sensorimotor cortex,50
Forebrain,128
Telencephalon,17
Cerebral Cortex,133
Temporal lobe,43
Inferior temporal gyrus,4
Medial inferior temporal cortex,0
Frontal lobe,25
Upper brain stem,4
Superior temporal gyrus,6
Parietal lobe,22
Prefrontal cortex,363
Lateral prefrontal cortex,18
Ventrolateral prefrontal cortex,12
Substantia nigra,45
Occipital lobe,8
Medial frontal cortex,14
Medial frontal gyrus,3
Hindbrain,17
Midbrain,226
Metencephalon,0
Cerebellum,140
Diencephalon,19
Thalamus,738
Basal Ganglia,73
Amygdala,396
Striatum,116
Putamen,68
Caudate nucleus,35
Hippocampus,251
Hippocampal formation,14
Archicortex,0
Brodmann area,11
Brodmann area 7,0
Brodmann area 9,0
Brodmann area 10,1
Brodmann area 11,0
Brodmann area 17,0
Brodmann area 18,0
Brodmann area 24,0
Brodmann area 32,2
Brodmann area 33,0
Orbital gyri,1
Medial orbital gyrus,1
Medial prefrontal cortex,83
Lower brain stem,5
Lateral temporal cortex,1
Lateral orbital gyrus,0
Dorsal striatum,8
Middle temporal gyrus,3
Lateral occipito-temporal gyrus,0
Fusiform gyrus,9
Medial occipito-temporal gyrus,0
Lingual gyrus,2
Parahippocampal gyrus,14
Entorhinal cortex,6
Insula,419
Precentral gyrus,11
Inferior frontal gyrus,24
Superior frontal gyrus,11
Raphe nuclei,24
Medulla oblongata,32
Raphe nuclei of medulla,0
Cerebral peduncle,4
Midbrain tegmentum,2
Midbrain reticular formation,10
Pons,67
Pontine tegmentum,5
Pontine reticular formation,12
Brain stem,176
Dorsolateral prefrontal cortex,94
Posterior insula,81
Anterior insula,136
Visual area,2
Visual area V5,0
Supplementary motor area,54
Corpus Callosum,7
Cerebrospinal fluid,588
Globus pallidus,15
posterior temporal lobe,0
Limbic gyrus,0
Middle and inferior temporal gyri,0
Middle and inferior temporal gyrus,0
Ventral striatum,24
Anterior temporal lobe,0
Lateral anterior temporal lobe,0
Mesial anterior temporal lobe,0
Brodmann area 8,0
"Superior frontal gyrus, dorsolateral",0
Middle frontal gyrus,15
Angular gyrus,3
Hypothalamus,321
Transverse temporal gyri,0
Temporal pole,6
Gyrus rectus,0
